like1,PARM1,PARM5,PARM12,PARM15,PARM16,PARM17,PARM20,PARM22,PARM23,PARM25,PARM34,PARM39,PARM40,PARM42,PARM44,PARM49,PARM50,PARM51,PARM61,PARM73,PARM83,PARM87,PARM88,PARM89,PARM90,PARM91,PARM92,Flow(m3/s)-2000-1,Flow(m3/s)-2000-2,Flow(m3/s)-2000-3,Flow(m3/s)-2000-4,Flow(m3/s)-2000-5,Flow(m3/s)-2000-6,Flow(m3/s)-2000-7,Flow(m3/s)-2000-8,Flow(m3/s)-2000-9,Flow(m3/s)-2000-10,Flow(m3/s)-2000-11,Flow(m3/s)-2000-12,Flow(m3/s)-2001-1,Flow(m3/s)-2001-2,Flow(m3/s)-2001-3,Flow(m3/s)-2001-4,Flow(m3/s)-2001-5,Flow(m3/s)-2001-6,Flow(m3/s)-2001-7,Flow(m3/s)-2001-8,Flow(m3/s)-2001-9,Flow(m3/s)-2001-10,Flow(m3/s)-2001-11,Flow(m3/s)-2001-12,Flow(m3/s)-2002-1,Flow(m3/s)-2002-2,Flow(m3/s)-2002-3,Flow(m3/s)-2002-4,Flow(m3/s)-2002-5,Flow(m3/s)-2002-6,Flow(m3/s)-2002-7,Flow(m3/s)-2002-8,Flow(m3/s)-2002-9,Flow(m3/s)-2002-10,Flow(m3/s)-2002-11,Flow(m3/s)-2002-12,Flow(m3/s)-2003-1,Flow(m3/s)-2003-2,Flow(m3/s)-2003-3,Flow(m3/s)-2003-4,Flow(m3/s)-2003-5,Flow(m3/s)-2003-6,Flow(m3/s)-2003-7,Flow(m3/s)-2003-8,Flow(m3/s)-2003-9,Flow(m3/s)-2003-10,Flow(m3/s)-2003-11,Flow(m3/s)-2003-12,chain
-25518.045,1.0917572,0.43613324,1.8456229,0.2756744,1.2377523,0.040740166,0.11162647,0.4208161,0.0026355681,0.7043033,0.5402339,0.092034705,0.89543307,1.5325047,1.6228055,8.013474,0.095683835,0.32245994,0.47925428,0.18001476,1.0668484,0.9159507,0.37994596,0.16919345,4.4047174,0.5567645,0.5869082,0.0018335725,0.00022387148,0.0005563207,0.0021548767,0.0024060905,0.002147654,9.607521e-12,2.33e-14,0.00017137174,0.0017223073,0.020975018,0.009560952,0.004587133,0.002762238,0.0063725617,7.792551e-06,0.0010284848,0.0016643362,8.035484e-06,0.014598328,0.0025452452,0.0049257805,0.0053764777,0.017800331,0.00017409258,0.0034059598,0.0036373497,0.0009966147,0.002758686,0.0009759593,0.004064974,0.00021035792,1.5553833e-06,0.016951889,0.0034485809,0.012015238,0.00015063798,0.01211387,0.0019997223,3.3201994e-09,0.00185801,0.0013951475,0.00087968446,0.00027644227,0.0016642087,0.008547487,0.00045100474,0.00041615864,0.0
-3171.4644,1.9019172,0.8109937,2.2199602,0.13475738,1.2810345,0.17881168,0.23485485,0.17484826,0.0027778603,1.0575416,0.53083724,0.028699236,0.16531283,2.3249147,1.7329913,6.663261,0.21215817,0.75305706,0.14463343,0.41094828,1.8644706,0.57820743,0.46435443,0.45198184,7.477153,0.80217373,1.4952013,0.0002474134,8.085673e-06,2.489817e-07,0.00018080758,0.00020587254,0.00013219178,2.5087457e-10,7.91e-14,1.7392431e-06,0.0002312081,0.012074561,0.007970109,0.009785774,0.006388083,0.0082250275,0.0007804785,0.00023663368,0.0004646819,8.953809e-09,0.010085454,0.002180904,0.0026618673,0.0030195983,0.015469291,0.00062348915,0.0013883723,0.0015482057,8.3305094e-05,0.0006432804,1.1247952e-05,0.00067557214,5.2475527e-05,2.9171074e-08,0.01127585,0.0010426408,0.0054074833,0.0011447622,0.010105412,0.007915818,5.3710835e-05,0.00026822934,0.00013164069,1.4441601e-05,0.0001106267,0.00051084824,0.0042197267,5.5775432e-05,0.00021597206,1.0
-4117.7124,1.3492435,0.26689625,1.7550232,0.05070012,1.1512632,0.22235107,0.26724398,0.33673963,0.0030363523,0.549086,0.5671583,0.008648923,0.81139535,0.5373363,1.4540299,1.3576176,0.28029573,0.68400174,0.71598536,0.48015177,7.3611436,0.737826,0.5485567,0.53253925,5.210086,0.1958512,0.76610225,0.00040208327,4.1948064e-05,1.0218377e-05,0.0009865224,0.00038127514,0.0007075864,1.4536959e-10,5.512e-14,5.5650784e-08,0.0009905064,0.01794287,0.008330363,0.002858564,0.0017338846,0.0032227852,1.0826473e-08,0.0003471043,0.0007118777,4.5712674e-09,0.011639721,0.0011923364,0.0026462362,0.004040231,0.016430754,1.2042628e-05,0.002374359,0.0024843963,0.00030660766,0.0020732584,0.00033570288,0.0027713324,0.00022384689,1.5390258e-06,0.016038854,0.0018493991,0.00913207,5.1531006e-06,0.009171279,0.001052347,5.07943e-09,0.00056969764,0.0007225011,0.00021923875,0.00063413475,0.0016312911,0.007366278,0.00032680613,0.00021933301,2.0
-31521.887,1.5216042,0.72838014,1.5925717,0.19216846,1.0504352,0.35828435,0.07906096,0.30243343,0.0029468986,1.8427062,0.58235514,0.018204734,0.643241,1.9266967,1.0940351,13.464633,0.19047932,0.4747708,0.4128712,0.6358568,3.5235763,0.48491776,0.1792283,0.38405955,9.060899,0.29328904,1.3091115,0.0011707378,7.457887e-05,0.00013731349,0.0007440168,0.001538993,0.0009772038,2.2276218e-10,9.584e-14,0.00018955379,0.0010363472,0.01622041,0.007481853,0.0024242452,0.001632344,0.003091038,1.2240592e-06,0.00051252986,0.00094153115,1.02991e-05,0.011563928,0.0011754542,0.002541736,0.0036968016,0.014072222,7.5557284e-05,0.0022638512,0.0025779163,0.0005045154,0.0013132762,0.00012678465,0.0019997647,0.00029082983,1.6711756e-05,0.014059577,0.002024574,0.0074993,2.5325915e-05,0.0074500013,0.00094108254,7.373443e-09,0.0008674487,0.0004804474,6.3605636e-05,0.0005786256,0.0013636405,0.0066506127,0.00024330948,0.00037712182,3.0
-13591.806,1.7064648,0.639398,1.6689712,0.16201092,1.4245651,0.27619442,0.36275923,0.25992793,0.002548276,1.6476778,0.5905575,0.03770061,0.5530103,2.1333747,1.2609997,11.947796,0.07451917,0.16778407,0.32739273,0.77624744,5.4741435,0.66007465,0.7107545,0.23442349,6.8370743,0.70715827,0.42168093,0.00075786334,8.6459244e-05,3.0145515e-05,0.0018092624,0.0009633074,0.0015462532,1.1690914e-10,7.233e-14,2.1017955e-05,0.0013999991,0.01944887,0.008573119,0.003557475,0.0030224177,0.0052366005,8.583864e-08,0.00056934776,0.0014394089,2.338387e-06,0.013796272,0.0019017106,0.0031794882,0.0046193176,0.016283564,0.00014688775,0.0030629155,0.0036910798,0.00037234093,0.0022748723,0.00015674006,0.0028394074,0.00039162277,3.1330956e-08,0.015630586,0.0026662399,0.011266872,3.492251e-05,0.010577235,0.0019633095,6.5832584e-09,0.00084389455,0.0008407694,0.00034269385,0.0003850737,0.0014097037,0.007655077,0.00045367435,0.0004025941,4.0
-12473.893,1.2594671,0.18276219,1.9423825,0.21797763,1.1987933,0.44803485,0.14101978,0.22304672,0.0026995668,1.4288305,0.5213128,0.048057217,0.2621271,0.7434938,1.1728784,5.150292,0.23301467,0.39337903,0.6360853,0.25379205,2.7066996,0.10293333,0.8225669,0.30948228,8.262625,0.46285304,1.0863373,0.0007499067,6.598696e-05,4.314208e-05,0.001047538,0.0006380329,0.00078624446,2.2459323e-10,8.74e-14,2.1568796e-05,0.0009301143,0.016501429,0.0074538225,0.002323076,0.005272341,0.007173692,1.5394017e-08,0.0003870057,0.00060851563,2.1050695e-08,0.011159593,0.0011241062,0.0028017543,0.0041223946,0.013961744,0.00014768455,0.0023787317,0.0028239381,0.00047401417,0.0015710191,0.00022598232,0.0021287806,0.00020008154,4.416243e-08,0.013905867,0.0016766578,0.008205373,5.16475e-06,0.007871493,0.0022453258,8.55598e-09,0.0008313205,0.00076832593,0.00021596889,0.0005643259,0.0014441,0.0073719597,0.00024337746,0.00025128925,5.0
-7960.294,1.8015724,0.5481189,2.4120948,0.078403555,1.3286585,0.13952275,0.3299674,0.37350783,0.003118747,0.39136517,0.55916804,0.075362705,0.7244334,1.7262186,1.8184927,2.4786277,0.16608512,0.6171565,0.8699955,0.6933134,4.410943,0.39578873,0.09464773,0.6041266,2.7553153,0.6310215,1.6355281,5.8919693e-05,4.0321922e-08,9.379513e-08,1.6353626e-05,1.26453815e-05,1.4550289e-05,8.8141335e-11,2.915e-14,3.5579156e-08,0.00021338531,0.011442653,0.004717511,0.0006332466,0.000498396,0.004427896,8.624807e-09,0.000103406936,0.00022755319,3.8923966e-09,0.0079677645,0.0003566038,0.0015406209,0.0021612165,0.012946335,8.156043e-08,0.0011054201,0.0008939347,7.8948324e-05,0.00049421814,3.8623366e-08,0.0003913905,3.389844e-08,9.798828e-09,0.01083797,0.00059763005,0.0036924258,5.3628227e-08,0.0060951705,0.000234789,4.6672635e-09,1.4277246e-05,2.7218266e-05,6.690889e-07,4.6354755e-05,0.0005080198,0.004160453,5.3309736e-06,2.4363218e-05,6.0
-7384.8003,1.6183444,0.09012939,2.1244376,0.025941988,1.3719423,0.087833405,0.20476606,0.13343616,0.0023784272,0.8927854,0.574973,0.08331507,0.083013386,1.3683826,1.5348159,9.26295,0.14232227,0.2509851,0.7945999,0.33005896,9.123547,0.20740902,0.27776837,0.7470786,2.0031345,0.9114883,0.26134938,0.002894365,0.00055896747,0.0017198181,0.0034384155,0.0047892584,0.003130501,3.9689226e-14,0.0,0.00056066865,0.0032099711,0.025296634,0.012817348,0.008226597,0.003954747,0.00867529,5.1861036e-05,0.002238413,0.002840767,1.2783871e-05,0.017278213,0.0031886604,0.0057488726,0.007097733,0.020329546,0.00034581937,0.004033823,0.005356517,0.0015194805,0.004085558,0.0012074322,0.004897441,0.00068129186,1.879e-06,0.020724302,0.0045404844,0.016617123,0.00022535755,0.015668895,0.002919726,1.3513362e-09,0.003229092,0.0023500388,0.0015935514,0.000927181,0.0029180096,0.012175289,0.0006163354,0.00075178896,7.0
-9260.341,1.1651655,0.90534747,2.0392847,0.10406537,1.4603354,0.40231425,0.17370325,0.097060055,0.0028637904,1.2230681,0.5124045,0.057328347,0.473808,1.1689062,1.907333,3.9368048,0.1204032,0.5488091,0.55398333,0.56034386,8.285368,0.83122385,0.9038631,0.81727123,6.018998,0.38189,0.91780186,0.001688201,0.000108862565,0.00019846739,0.0010849205,0.0016481742,0.0012635889,1.728784e-10,6.367e-14,0.0002114959,0.0011008235,0.018424345,0.007909859,0.0028165595,0.0021413602,0.0040666065,1.0474037e-06,0.0007519068,0.0015801749,4.548387e-05,0.013941794,0.0016311551,0.0032954987,0.0045655305,0.016718162,0.00014724924,0.0032107958,0.0028119998,0.0005160177,0.0018176226,0.00033571,0.002468763,0.00016307722,2.9017124e-06,0.01504871,0.002894228,0.0096910335,4.0897383e-05,0.009690938,0.0012952773,9.570707e-09,0.0010722867,0.00088066637,0.00030998507,0.0008041783,0.0018090463,0.0076486142,0.00028994284,0.00044324485,8.0
-869.6174,1.4332849,0.3492387,2.3018365,0.2501537,1.1013703,0.31706694,0.29536104,0.46665102,0.002477239,0.16888805,0.55051893,0.06616815,0.3551461,0.9515431,1.348889,10.613098,0.25709906,0.8261777,0.22780962,0.8411653,6.4607215,0.2991379,0.6389615,0.668403,3.4867425,0.114179745,1.819338,0.000109735665,1.4556203e-07,1.02124e-07,2.8863913e-06,1.0033157e-05,1.2369763e-05,1.3099694e-10,3.689e-14,4.4328928e-08,0.00016808223,0.01111853,0.0048455806,0.007143278,0.006239268,0.0064920546,0.0009423749,9.892731e-05,0.00017026567,4.0366808e-09,0.008745536,0.00035140032,0.0016114103,0.0021674884,0.013143702,3.428271e-08,0.0013850897,0.0014684715,3.6552607e-05,0.00028686554,4.0238135e-08,0.00020091659,5.157518e-06,1.6730997e-08,0.010502487,0.00056846306,0.0038675354,6.976626e-08,0.0075655608,0.00785046,3.8338968e-09,4.9531558e-05,1.2389094e-05,4.0899923e-08,0.00013861715,0.00036895083,0.0037012973,2.5812203e-06,1.5257354e-05,9.0
-16322.638,1.4878905,0.0047924565,2.230847,0.03962079,1.1829929,0.087583184,0.11852237,0.40238723,0.002473343,0.028688744,0.5208265,0.065139316,0.14939137,1.722763,1.2693425,13.420361,0.29647562,0.8716809,0.22359884,0.32273948,8.7173,0.34118167,0.13730286,0.1812688,5.637547,0.65224594,1.0525936,0.0012039763,8.235052e-05,0.00015102718,0.0011619675,0.001108975,0.0009963025,1.10483685e-10,5.964e-14,5.800752e-05,0.001291935,0.017400436,0.008260774,0.003329375,0.003378627,0.007720203,0.00024120724,0.00078022707,0.0013226202,7.62037e-06,0.01086661,0.0011960843,0.0030297213,0.004162034,0.01726292,0.00037904995,0.0027932697,0.0029024011,0.0005026075,0.0017155107,6.702837e-05,0.001790374,0.00010594903,2.624033e-06,0.014634487,0.0026120474,0.0100927185,3.6623704e-05,0.009935468,0.0011810594,1.518756e-09,0.00096872845,0.0005344266,6.919356e-05,0.00017600333,0.0012345997,0.007862522,0.00025953847,0.00033194787,0.0
